"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"Christelijk Lyceum Apeldoorn";"APELDOORN";"Protestants-Christelijk";1258;"18.4419713831479";"42.845786963434";"38.7122416534181";"91.2621359223301";"6.5";"94.1860465116279";"6.42906976744186";"97.8723404255319";"6.68085106382979";"6.56990068754775";"5.80595874713522"
"De Heemgaard";"APELDOORN";"Protestants-Christelijk";1044;"31.992337164751";"43.3908045977011";"24.6168582375479";"84.5588235294118";"6.39264705882353";"87.962962962963";"6.59907407407407";"82.6086956521739";"6.70652173913043";"6.56934306569343";"4.08759124087591"
"Edison College";"APELDOORN";"Openbaar";230;"100";"0";"0";"97.5";"6.74583333333333";"-";"-";"-";"-";"4.81283422459893";"4.27807486631016"
"Gymnasium Apeldoorn";"APELDOORN";"Openbaar";631;"0";"0";"100";"-";"-";"-";"-";"89.4230769230769";"6.76153846153846";"6.37982195845697";"0"
"Jacobus Fruijtier SGM";"APELDOORN";"Reformatorisch";1092;"40.9340659340659";"30.7692307692308";"28.2967032967033";"96.0975609756098";"6.65365853658537";"93";"6.668";"92.4050632911392";"6.79493670886076";"3.31825037707391";"1.96078431372549"
"Jacobus Fruijtier SGM Uddel";"APELDOORN";"Reformatorisch";235;"48.5106382978723";"51.4893617021277";"0";"97.6744186046512";"6.73953488372093";"-";"-";"-";"-";"1.10294117647059";"2.02205882352941"
"Openbare SGM Apeldoorn";"APELDOORN";"Openbaar";1101;"26.7029972752044";"36.0581289736603";"37.2388737511353";"93.6170212765958";"6.44255319148936";"86.8131868131868";"6.41868131868132";"84.5238095238095";"6.46190476190476";"6.14692653673163";"1.72413793103448"
"Sprengeloo ";"APELDOORN";"Protestants-Christelijk";482;"100";"0";"0";"97.0909090909091";"6.63090909090909";"-";"-";"-";"-";"2.99586776859504";"19.4214876033058"
"Veluws College Cortenbosch";"APELDOORN";"Rooms-Katholiek";452;"100";"0";"0";"98.8505747126437";"6.59252873563218";"-";"-";"-";"-";"2.9806259314456";"0.596125186289121"
"Veluws College Mheenpark";"APELDOORN";"Rooms-Katholiek";386;"66.580310880829";"25.3886010362694";"8.03108808290155";"94.6153846153846";"6.44153846153846";"-";"-";"-";"-";"4.16068866571019";"4.16068866571019"
"Veluws College Walterbosch";"APELDOORN";"Rooms-Katholiek";1135;"0";"47.4008810572687";"52.5991189427313";"-";"-";"86.6952789699571";"6.37467811158798";"87.1212121212121";"6.5530303030303";"6.74157303370786";"0.660938532716457"
"Het Assink lyceum voor Lyceum Havo Mavo Vbo Lwoo";"BERKELLAND";"Rooms-Katholiek";459;"100";"0";"0";"97.8494623655914";"6.66487455197133";"-";"-";"-";"-";"3.10786106032907";"1.46252285191956"
"Staring College Beukenlaan";"BERKELLAND";"Openbaar";119;"60.5042016806723";"20.1680672268908";"19.327731092437";"100";"6.80967741935484";"-";"-";"-";"-";"1.17647058823529";"7.35294117647059"
"Staring College Herenlaan";"BERKELLAND";"Openbaar";96;"100";"0";"0";"100";"6.53225806451613";"-";"-";"-";"-";"4.92957746478873";"0"
"zone.college vmbo Borculo";"BERKELLAND";"Overige";177;"100";"0";"0";"95.5555555555556";"6.96888888888889";"-";"-";"-";"-";"-";"-"
"Ulenhof 't Beeckland";"BRONCKHORST";"Protestants-Christelijk";85;"100";"0";"0";"98";"6.66";"-";"-";"-";"-";"1.08695652173913";"6.15942028985507"
"Agnieten College Nieuwleusen";"DALFSEN";"Protestants-Christelijk";69;"100";"0";"0";"92.8571428571429";"6.61071428571429";"-";"-";"-";"-";"1.74672489082969";"2.18340611353712"
"De Keurkamp";"DEVENTER";"Algemeen bijzonder";209;"100";"0";"0";"93.7007874015748";"6.45905511811024";"-";"-";"-";"-";"2.77777777777778";"1.94444444444444"
"Etty Hillesum Lyceum";"DEVENTER";"Algemeen bijzonder";1491;"0";"53.1857813547954";"46.8142186452046";"-";"-";"94.4954128440367";"6.6519877675841";"92";"6.72533333333333";"13.2936507936508";"0.661375661375661"
"Het Slatink";"DEVENTER";"Algemeen bijzonder";763;"97.7719528178244";"2.22804718217562";"0";"94.2622950819672";"6.52377049180328";"-";"-";"-";"-";"9.32944606413994";"5.4421768707483"
"Almere College";"DRONTEN";"Openbaar";557;"25.673249551167";"49.7307001795332";"24.5960502692998";"88";"6.538";"88.7323943661972";"6.5056338028169";"91.6666666666667";"6.74444444444444";"4.75227502527806";"7.58341759352882"
"Almere College, Ontmoetingsschool voor PRO LWOO VMBO HAVO VWO";"DRONTEN";"Openbaar";150;"100";"0";"0";"98.7341772151899";"6.82151898734177";"-";"-";"-";"-";"0.986842105263158";"3.28947368421053"
"Ichthus College";"DRONTEN";"Protestants-Christelijk";514;"18.2879377431907";"57.9766536964981";"23.7354085603113";"96";"6.94";"75.9036144578313";"6.62168674698795";"92.5";"6.88";"2.71739130434783";"2.30978260869565"
"Ichthus College Scholengemeenschap voor Lyceum, Havo, Vmbo, Lwoo";"DRONTEN";"Protestants-Christelijk";82;"100";"0";"0";"98.2758620689655";"6.73620689655172";"-";"-";"-";"-";"0";"3.51758793969849"
"Nuborgh College Lambert Franckens";"ELBURG";"Protestants-Christelijk";815;"0";"53.2515337423313";"46.7484662576687";"-";"-";"87.962962962963";"6.53333333333333";"94.4444444444444";"6.68194444444444";"6.57084188911704";"1.43737166324435"
"Nuborgh College Oostenlicht";"ELBURG";"Protestants-Christelijk";483;"100";"0";"0";"96.1864406779661";"6.59830508474576";"-";"-";"-";"-";"3.29171396140749";"2.83768444948922"
"Van Kinsbergen college";"ELBURG";"Openbaar";131;"58.7786259541985";"41.2213740458015";"0";"93.1034482758621";"6.54137931034483";"-";"-";"-";"-";"3.00429184549356";"23.175965665236"
"Rsgm Noord Oost Veluwe";"EPE";"Openbaar";686;"54.2274052478134";"22.7405247813411";"23.0320699708455";"94.2528735632184";"6.59022988505747";"80.4347826086957";"6.32826086956522";"89.6551724137931";"6.82758620689655";"5.73991031390134";"4.2152466367713"
"Chr. College Groevenbeek";"ERMELO";"Protestants-Christelijk";1902;"30.0736067297582";"34.7528916929548";"35.1735015772871";"95.2898550724638";"6.80434782608696";"93.3333333333333";"6.71636363636364";"87.378640776699";"6.7252427184466";"3.45098039215686";"3.05882352941176"
"De Zeven Linden";"HARDENBERG";"Openbaar";430;"46.7441860465116";"35.5813953488372";"17.6744186046512";"95.7746478873239";"6.59577464788732";"83.3333333333333";"6.51666666666667";"75";"6.6";"4.82758620689655";"5.05747126436782"
"Greijdanus College";"HARDENBERG";"Gereformeerd";632;"56.6455696202532";"21.6772151898734";"21.6772151898734";"97.1830985915493";"6.55633802816901";"92.7536231884058";"6.75942028985507";"87.5";"6.55625";"1.78970917225951";"3.24384787472036"
"Sgm de Nieuwe Veste";"HARDENBERG";"Openbaar";214;"68.6915887850467";"31.3084112149533";"0";"95.3846153846154";"6.57692307692308";"66.6666666666667";"6.30555555555556";"-";"-";"4.15584415584416";"3.63636363636364"
"Vechtdal College";"HARDENBERG";"Samenwerking PC, RK";1224;"38.4803921568627";"33.0882352941176";"28.4313725490196";"94.017094017094";"6.43119658119658";"81.8181818181818";"6.475";"87.3417721518987";"6.69240506329114";"5.74650912996778";"3.06122448979592"
"Vechtdal College Dedemsvaart";"HARDENBERG";"Samenwerking PC, RK";191;"80.6282722513089";"13.0890052356021";"6.282722513089";"100";"6.41625";"-";"-";"-";"-";"3.61702127659574";"6.38297872340426"
"Christelijk College Nassau-Veluwe";"HARDERWIJK";"Samenwerking PC, RK";1336;"0";"42.8892215568862";"57.1107784431138";"-";"-";"89.8550724637681";"6.58333333333333";"89.7959183673469";"6.87551020408163";"7.23404255319149";"0.567375886524823"
"Morgen College, De Sypel";"HARDERWIJK";"Samenwerking PC, RK";260;"100";"0";"0";"94.53125";"6.46015625";"-";"-";"-";"-";"4.72279260780287";"2.05338809034908"
"Morgen College, Westeinde";"HARDERWIJK";"Samenwerking PC, RK";122;"100";"0";"0";"95.8333333333333";"6.70416666666667";"-";"-";"-";"-";"3.37552742616034";"6.75105485232067"
"RSG Slingerbos/Levant";"HARDERWIJK";"Openbaar";1324;"18.8066465256798";"46.0725075528701";"35.1208459214501";"90.9090909090909";"6.57";"86.0215053763441";"6.49032258064516";"89.2857142857143";"6.65267857142857";"7.17154331612163";"4.81927710843374"
"De Noordgouw";"HEERDE";"Protestants-Christelijk";797;"26.9761606022585";"37.2647427854454";"35.7590966122961";"97.4358974358974";"6.62948717948718";"94.6236559139785";"6.61397849462366";"84.9056603773585";"6.6811320754717";"5.89970501474926";"3.83480825958702"
"Chr SGM Reggesteyn, loc. Noetselerbergweg";"HELLENDOORN";"Protestants-Christelijk";996;"0";"57.7309236947791";"42.2690763052209";"-";"-";"90.7317073170732";"6.45317073170732";"100";"6.83387096774194";"7.96777081468218";"2.50671441360788"
"Chr SGM Reggesteyn, loc. W. de Clercqstraat";"HELLENDOORN";"Protestants-Christelijk";262;"100";"0";"0";"98.3606557377049";"6.52622950819672";"-";"-";"-";"-";"1.66666666666667";"3.33333333333333"
"Almere College";"KAMPEN";"Openbaar";383;"37.0757180156658";"35.509138381201";"27.4151436031332";"91.025641025641";"6.35897435897436";"80.5555555555556";"6.59722222222222";"92.8571428571429";"6.64285714285714";"6.67903525046382";"2.41187384044527"
"Almere College locatie Via ";"KAMPEN";"Openbaar";90;"100";"0";"0";"100";"6.71428571428571";"-";"-";"-";"-";"3.68421052631579";"0"
"Ichthus College 1";"KAMPEN";"Protestants-Christelijk";665;"31.7293233082707";"68.2706766917293";"0";"98.1818181818182";"6.66636363636364";"93.6936936936937";"6.73153153153153";"-";"-";"8.24053452115813";"1.67037861915367"
"Ichthus College 4 locatie Via";"KAMPEN";"Protestants-Christelijk";193;"100";"0";"0";"100";"6.71603773584906";"-";"-";"-";"-";"0.25";"1"
"Ichthus College 5";"KAMPEN";"Protestants-Christelijk";317;"0";"0";"100";"-";"-";"-";"-";"90.3846153846154";"6.89807692307692";"6.79347826086956";"0"
"SGM Pieter Zandt";"KAMPEN";"Reformatorisch";1094;"52.5594149908592";"29.1590493601462";"18.2815356489945";"98.5074626865672";"6.63283582089552";"93.5897435897436";"6.71282051282051";"93.75";"6.80416666666667";"3.40836012861736";"1.73633440514469"
"AOC Groenhorst";"LELYSTAD";"Samenwerking PC, RK";248;"100";"0";"0";"94.4444444444444";"6.52222222222222";"-";"-";"-";"-";"10.1545253863135";"1.1037527593819"
"ISG Arcus";"LELYSTAD";"Samenwerking PC, RK";603;"43.7810945273632";"20.7296849087894";"35.4892205638474";"98.3471074380165";"6.66528925619835";"88.8888888888889";"6.39722222222222";"93.3333333333333";"6.64666666666667";"8.70786516853933";"2.90262172284644"
"SGM De Rietlanden";"LELYSTAD";"Algemeen bijzonder";632;"51.7405063291139";"32.4367088607595";"15.8227848101266";"94.8186528497409";"6.5";"92.5";"6.61875";"86.9565217391304";"6.73043478260869";"6.49253731343284";"3.43283582089552"
"SGM Lelystad";"LELYSTAD";"Algemeen bijzonder";686;"41.2536443148688";"40.3790087463557";"18.3673469387755";"94.578313253012";"6.50180722891566";"87.8048780487805";"6.53658536585366";"95.1219512195122";"6.8609756097561";"6.31104432757325";"2.25394440270473"
"Staring College";"LOCHEM";"Openbaar";1273;"18.381775333857";"40.8483896307934";"40.7698350353496";"90.4347826086957";"6.48608695652174";"88.785046728972";"6.40373831775701";"95.4022988505747";"6.70574712643678";"8.0737444373808";"4.32294977749523"
